Date,Sample ID,Tube#,concentration_rep1,concentration_rep2,concentration_rep3
45663,STB3,1,1511.2927651397972,1288.65882939911,1308.4661634142387
45663,MQBC2,2,2214.652098158312,1308.1792385169497,2353.448657911454
45663,MQLT16,3,1888.4564654540732,2596.5262402943663,1641.380940422201
45663,STA0C1,4,991.4184755174169,1015.3731017493549,2205.4865347968043
45663,MQA03,5,1409.3566299197228,1776.6690573451015,2048.276778987489
45663,MQAC1,6,1970.0053736301331,2147.556830584055,1752.3525327581888
45663,MQCC1,7,1654.0033544479015,1425.3016932239875,1576.6475115595415
45664,MQLT9,9,1574.9220809616136,1203.2307435184996,1458.0497029307517
45664,STLT6,10,1109.899493493132,1266.0869074727898,1385.0265864496491
45664,MQC2,11,943.8199979686744,1035.6143063070595,1218.1166059214154
45664,STLT5,12,1353.4827535956697,1203.2307435184996,1249.4122272704592
45664,STAC1,13,1342.4107872273726,1412.7512900327997,1416.3222077986934
45664,STLT1,14,766.6685360759195,689.9054045584644,894.7285186479619
45664,STDC1,15,1187.4032580712123,1307.9910167756495,1353.7309651006055
45664,STLT3,16,1076.6835943882404,899.4259510727646,1072.0703729592103
45664,MQA0C1,17,1143.1153925980234,1234.6588254956448,1291.1397224025177
45664,MQA02,18,1309.1948881224812,1569.8916999185249,1666.6871785910444
45664,MQLT11,19,2051.0166347983923,1842.2684103871152,1958.779644515454
45664,MQB1,20,1442.0584845420472,1538.4636179413797,1458.0497029307517
45664,MQCC3,21,1486.346350015236,1496.55950863852,1478.913450496781
45665,STBC3,22,1210.8427592498413,1191.334389376057,1160.0510171770288
45665,STA1,23,1303.9105346216961,1458.0195558588007,1323.8661136518185
45665,MQA0C3,24,1655.4999082487038,1365.7054597686204,1753.880741898142
45665,STCC3,25,1283.2288067612842,1314.4198508296313,1395.5352183595392
45665,MQLT14,26,1541.7504050164366,1570.8478955245766,1968.8880560213036
45665,STC1,27,1417.6600378539636,1170.8201458004614,1426.2505489485623
45665,STLT4,29,1479.7052214352002,1724.7047223415439,1549.1118713046546
45665,MQD3,30,1407.3191739237575,1232.3628765272483,1262.4354524737723
45665,STLT8,31,1603.795588597673,1591.3621391001723,1590.0656454233522
45665,STAC3,32,859.2533856228341,832.3351268031337,883.6130418758207
45665,MQLT15,33,1365.955718202933,1396.4768251320138,1743.6422983684677
45665,STCC2,34,1293.5696706914903,1386.219703344216,1313.627670122144
45665,MQCC2,35,1645.1590443184975,1375.9625815564182,1456.9658795375856
45666,STA01,36,1373.6419311222473,1569.3577924698159,1378.8247024365937
45666,STBC1,37,1423.4311620138405,1491.6348511655356,1681.1553561413361
45666,MQA0C2,38,1523.0096237970267,1919.1110283390774,2129.775035832244
45666,STB2,39,1383.599777300566,1491.6348511655356,1447.0929145634707
45666,MQAC3,40,1911.365624751453,1802.5266163826566,1905.46519598679
45666,MQA01,41,2857.3610116917225,1783.0958810565867,1973.7334081136673
45666,STLT2,42,1652.461624115169,1452.7733805133953,1466.598118028293
45666,MQLT12,43,2429.173626024021,2298.0103671974443,2178.5380444942994
45666,MQLT13,44,1841.6607015032223,1637.3653661110611,1427.587711098649
45666,STA0C2,45,985.2859301678212,1316.7582332309048,1349.5668972393605
45666,MQCC2,46,1891.4499323948155,1870.534190023902,2149.280239297066
45666,MQDC2,47,1682.3351626501246,1676.2268367632012,1622.6397457468697
45666,MQD2,48,1234.232084625787,1316.7582332309048,1281.2986851124833
45666,MQA1,49,2160.3117792094185,1967.6878666542527,1954.2282046488453
45670,STA3,50,1777.62390727508,1782.93778032227,1725.779779843961
45670,STAC2,51,1009.8281897057985,1006.4214265539534,968.88976110008
45670,MQC3,52,2091.722155371604,1794.1916405218108,2075.9826243373986
45670,MQA3,53,1812.5237126191382,1737.9223395241067,1770.9672436495657
45670,STA01,54,1428.6258538344975,16.081728994361242,1443.3581310589307
45670,STDC2,55,1510.0587329706334,1479.083554934668,1522.4361927187392
45670,MQBC1,56,1626.3914174508275,1580.3682967305351,1624.1079862813501
45670,MQA2,57,1463.5256591785558,1445.3219743360455,1556.326790572943
45670,STB1,58,1091.2610688419345,1186.4831897466065,1138.342750371098
45670,MQD1,59,1649.6579543468665,1535.3528559323718,1499.8424608159369
45670,STLT7,60,1289.0266324582647,1141.4677489484434,1172.2333482253018
45670,STA2,61,1405.3593169384587,1377.7988131388006,1160.9364822739005
45670,MQBC3,62,1568.2250752107304,1479.083554934668,1386.8738013019247
45671,STCD3,64,1254.5041999128475,1324.613267605209,1253.4705783533664
45671,STCC1,65,1536.7022795233602,1551.7987025751927,1473.357870462287
45671,STC3,66,1151.0315707223263,1211.0205501202172,1119.6261396783716
45671,STBC2,67,1132.218365414959,1182.6223707489692,1138.7467737747995
45671,STC2,68,1282.7240078738987,1296.2150882339608,1253.4705783533664
45671,MQB2,69,1753.0541405580861,1816.8483767068406,1741.046747812277
45671,STA03,70,1489.6692662549415,1504.4684036231129,1463.797553414073
45671,MQDC1,71,1517.8890742159924,1551.7987025751927,1597.641992089068
45671,MQDC3,72,1781.2739485191378,1778.9841375451765,1750.607064860491
45671,MQLT10,73,1847.1201670949235,1949.3732137726645,1855.7705523908442
45671,STA0C3,74,1583.7352927917786,1542.3326427847767,1521.1594557033568
45671,MQC1,75,1677.8013193286163,1741.1198983835127,1674.1245284747797
45673,MQB3,76,1575.6558877364264,1367.851120771005,1353.4930019305034
45673,MQAC2,77,4659.823062843199,1745.5254242532076,1721.7060810810826
45673,STA02,78,1632.9469188529608,1668.053772256858,1655.6165540540555
45673,STDC3,79,1308.297742525932,1338.799251272374,1306.2861969111982
