cultivar,heat_level,replicate,heat,control,concentration_diff,complete_pair
MQ,A,1.0,2027.4092835041722,1956.6382456574593,70.77103784671294,1
MQ,A,2.0,1614.0266738096482,2709.0181893924964,-1094.9915155828483,1
MQ,A,3.0,1891.0781191722342,1873.1191457069665,17.958973465267718,1
MQ,B,1.0,1703.556650544053,1732.332321766131,-28.775671222078017,1
MQ,B,2.0,1770.3164216924013,1958.7599981955718,-188.44357650317056,1
MQ,B,3.0,1432.3333368126448,1603.7516904513504,-171.41835363870564,1
MQ,C,1.0,1697.681915395636,1551.9841864104767,145.6977289851593,1
MQ,C,2.0,1314.7644657232759,1802.5765630520775,-487.81209732880166,1
MQ,C,3.0,2097.997197631888,1711.0854055124335,386.9117921194545,1
MQ,D,1.0,1684.8684559728688,1555.776589626751,129.09186634611774,1
MQ,D,2.0,1277.4296676563918,1660.400581720065,-382.97091406367326,1
MQ,D,3.0,1449.6788225326425,1770.2883836416015,-320.60956110895904,1
St,A,1.0,1508.3033588618262,1619.9384870524045,-111.63512819057837,1
St,A,2.0,1445.184445390334,1134.8372203831257,310.3472250072084,1
St,A,3.0,1879.8813938597184,1023.3217466359341,856.5596472237843,1
St,B,1.0,1274.5904370820754,1532.0737897735708,-257.4833526914954,1
St,B,2.0,1440.775847676524,1151.1958366462425,289.58001103028164,1
St,B,3.0,1369.472585984382,1340.3481408456873,29.124445138694682,1
St,C,1.0,1485.7213088666995,1520.6196175202801,-34.89830865358067,1
St,C,2.0,1277.4698914870753,1478.673349598818,-201.20345811174275,1
St,C,3.0,1160.5594201736383,1478.5368621261516,-317.97744195251335,1
St,D,1.0,1491.2997267869878,1518.7738870752707,-27.474160288282974,1
St,D,2.0,1441.971808418415,1628.9958484511492,-187.0240400327341,1
St,D,3.0,1181.2215483808923,1297.661872763488,-116.44032438259569,1
