experiment,source_row,cultivar,treatment_raw,heat_level,is_control,replicate,rotten_count,rotten_weight_g,healthy_count,healthy_weight_g,total_count,total_weight_g,pct_rotten_count,pct_rotten_weight,drop_a0,observations
acute,11,MQ,A,A,0,1,81,123.95,344,710.66,425,834.61,0.19058823529411764,0.14851247888235225,0,
acute,26,MQ,AC,A,1,1,22,26.65,509,1103.5,531,1130.15,0.04143126177024482,0.023580940583108435,0,
acute,9,MQ,A,A,0,2,61,72.99,543,1076.94,604,1149.93,0.10099337748344371,0.06347342881740627,0,
acute,25,MQ,AC,A,1,2,7,6.8,582,1117.82,589,1124.62,0.011884550084889643,0.006046486813323612,0,
acute,10,MQ,A,A,0,3,64,74.31,353,699.13,417,773.44,0.15347721822541965,0.09607726520479934,0,
acute,24,MQ,AC,A,1,3,26,35.12,447,942.49,473,977.61,0.05496828752642706,0.03592434610938922,0,
acute,13,MQ,B,B,0,1,51,95.81,341,708.73,392,804.54,0.13010204081632654,0.11908668307355758,0,
acute,29,MQ,BC,B,1,1,34,55.19,563,1205.87,597,1261.06,0.05695142378559464,0.04376476932104737,0,
acute,14,MQ,B,B,0,2,57,84.58,462,972.97,519,1057.55,0.10982658959537572,0.0799773060375396,0,
acute,27,MQ,BC,B,1,2,18,28.25,435,961.29,453,989.54,0.039735099337748346,0.02854861855003335,0,
acute,12,MQ,B,B,0,3,115,167.6,439,890.53,554,1058.1299999999999,0.2075812274368231,0.15839263606551182,0,
acute,28,MQ,BC,B,1,3,21,31.37,499,1006.75,520,1038.12,0.04038461538461539,0.030218086541054987,0,
acute,17,MQ,C,C,0,1,79,113.98,353,757.44,432,871.4200000000001,0.18287037037037038,0.13079800784925752,0,
acute,31,MQ,CC,C,1,1,13,20.38,516,1005.95,529,1026.3300000000002,0.024574669187145556,0.0198571609521304,0,
acute,16,MQ,C,C,0,2,113,163.62,373,832.2,486,995.82,0.23251028806584362,0.16430680243417484,0,100% rot = full berries
acute,30,MQ,CC,C,1,2,25,38.91,500,1058.43,525,1097.3400000000001,0.047619047619047616,0.03545847230575755,0,
acute,15,MQ,C,C,0,3,74,125.97,344,758.75,418,884.72,0.17703349282296652,0.1423840311058866,0,
acute,32,MQ,CC,C,1,3,26,34.08,466,1033.62,492,1067.6999999999998,0.052845528455284556,0.03191907839280697,0,
acute,18,MQ,D,D,0,1,110,227.21,374,765.05,484,992.26,0.22727272727272727,0.22898232318142422,0,
acute,33,MQ,DC,D,1,1,15,24.48,483,994.12,498,1018.6,0.030120481927710843,0.024032986451992932,0,
acute,20,MQ,D,D,0,2,175,324.41,409,856.35,584,1180.76,0.2996575342465753,0.274746773264677,0,
acute,35,MQ,DC,D,1,2,22,37.25,476,1059.78,498,1097.03,0.04417670682730924,0.03395531571606975,0,
acute,19,MQ,D,D,0,3,41,59.59,627,1281.44,668,1341.03,0.061377245508982034,0.04443599322908511,0,
acute,34,MQ,DC,D,1,3,35,42.14,604,1227.22,639,1269.3600000000001,0.054773082942097026,0.03319783197831978,0,
acute,41,St,A,A,0,1,129,198.04,281,550.02,410,748.06,0.3146341463414634,0.2647381226104858,0,95% rot are full berries
acute,54,St,AC,A,1,1,5,3.59,442,865.55,447,869.14,0.011185682326621925,0.004130519824194031,0,
acute,40,St,A,A,0,2,37,8.88,514,1008.14,551,1017.02,0.06715063520871144,0.008731391713043992,0,
acute,53,St,AC,A,1,2,12,10.91,512,981.76,524,992.67,0.022900763358778626,0.010990560810742745,0,
acute,39,St,A,A,0,3,64,20.24,458,821.9,522,842.14,0.12260536398467432,0.024034008597145367,0,
acute,55,St,AC,A,1,3,10,4.31,316,909.93,326,914.2399999999999,0.03067484662576687,0.004714298214910746,0,
acute,65,St,B,B,0,1,18,13.74,482,934.53,500,948.27,0.036,0.014489544117181816,0,
acute,56,St,BC,B,1,1,11,8.54,397,757.58,408,766.12,0.02696078431372549,0.011147078786613062,0,
acute,43,St,B,B,0,2,61,59.21,436,862.3,497,921.51,0.1227364185110664,0.064253236535686,0,
acute,58,St,BC,B,1,2,35,44.15,425,865.75,460,909.9,0.07608695652173914,0.04852181558413012,0,
acute,42,St,B,B,0,3,42,50.21,476,916.34,518,966.5500000000001,0.08108108108108109,0.05194764885417205,0,
acute,57,St,BC,B,1,3,14,2.37,441,872.18,455,874.55,0.03076923076923077,0.0027099651249213883,0,
acute,45,St,C,C,0,1,28,33.397,594,925.23,622,958.6270000000001,0.04501607717041801,0.03483836779060051,0,
acute,60,St,CC,C,1,1,39,31.91,572,1122.84,611,1154.75,0.06382978723404255,0.02763368694522624,0,
acute,46,St,C,C,0,2,65,61.68,459,832.87,524,894.55,0.12404580152671756,0.06895086915208765,0,
acute,61,St,CC,C,1,2,35,11.01,493,972.35,528,983.36,0.06628787878787878,0.01119630654083957,0,
acute,44,St,C,C,0,3,32,42.21,385,738.58,417,780.7900000000001,0.07673860911270983,0.054060630899473605,0,
acute,59,St,CC,C,1,3,32,22.19,488,951.16,520,973.35,0.06153846153846154,0.02279755483638979,0,
acute,48,St,D,D,0,1,186,291.49,269,507.62,455,799.11,0.4087912087912088,0.36476830473902216,0,
acute,64,St,DC,D,1,1,28,22.19,608,1171.88,636,1194.0700000000002,0.0440251572327044,0.018583500129808132,0,
acute,49,St,D,D,0,2,22,43.03,381,719.41,403,762.4399999999999,0.05459057071960298,0.05643722784743718,0,
acute,63,St,DC,D,1,2,11,5.28,467,884.86,478,890.14,0.02301255230125523,0.005931651200934685,0,
acute,47,St,D,D,0,3,59,55.17,610,1202.9,669,1258.0700000000002,0.08819133034379671,0.043852885769472286,0,
acute,62,St,DC,D,1,3,38,27.52,491,985.36,529,1012.88,0.07183364839319471,0.027170049759102755,0,
