outcome,term,estimate,std_error,t_value,p_value_normal_approx,n_obs,resid_variance
healthy_weight_diff,"Intercept(MQ,A)",-225.69333333333373,122.88852704449958,-1.8365696030485186,0.06627345812313834,24,45304.77023750001
healthy_weight_diff,Heat_B,25.13333333333395,173.7906216063841,0.14461846733167272,0.8850121156982942,24,45304.77023750001
healthy_weight_diff,Heat_C,-24.176666666666115,173.7906216063841,-0.1391137590923836,0.8893602557645972,24,45304.77023750001
healthy_weight_diff,Heat_D,99.60000000000022,173.7906216063841,0.5731034222639634,0.5665746702069463,24,45304.77023750001
healthy_weight_diff,Cultivar_St,99.9666666666672,173.79062160638418,0.5752132407528884,0.5651470890009584,24,45304.77023750001
healthy_weight_diff,Heat_B_x_St,173.14666666666602,245.77705408899894,0.7044867036447082,0.4811297275818074,24,45304.77023750001
healthy_weight_diff,Heat_C_x_St,-33.320000000000505,245.77705408899917,-0.13557001943694422,0.8921612076152887,24,45304.77023750001
healthy_weight_diff,Heat_D_x_St,-177.9300000000003,245.777054088999,-0.723948786266962,0.46909717714560095,24,45304.77023750001
pct_rotten_count_diff,"Intercept(MQ,A)",0.11225824387380622,0.05836564127292752,1.9233617831571121,0.054434630367943715,24,0.010219644243600154
pct_rotten_count_diff,Heat_B,-0.008778670760283741,0.08254148146477691,-0.10635465470812855,0.915300969254137,24,0.010219644243600154
pct_rotten_count_diff,Heat_C,0.043533391458761395,0.08254148146477691,0.5274122863585685,0.5979073132613446,24,0.010219644243600154
pct_rotten_count_diff,Heat_D,0.0408208345699165,0.08254148146477691,0.49454933259631473,0.620918275055184,24,0.010219644243600154
pct_rotten_count_diff,Cultivar_St,0.03428470720075442,0.08254148146477695,0.41536336145583697,0.6778759237365444,24,0.010219644243600154
pct_rotten_count_diff,Heat_B_x_St,-0.10243077098512621,0.11673128254585492,-0.877492037705393,0.3802194417432654,24,0.010219644243600154
pct_rotten_count_diff,Heat_C_x_St,-0.1720282224501679,0.11673128254585503,-1.4737114053603482,0.1405593106831291,24,0.010219644243600154
pct_rotten_count_diff,Heat_D_x_St,-0.04979653500199248,0.11673128254585494,-0.4265911751841771,0.6696771265101205,24,0.010219644243600154
pct_rotten_weight_diff,"Intercept(MQ,A)",0.08083713313291203,0.05542272022977634,1.4585558557532075,0.1446873911176314,24,0.009215033753004157
pct_rotten_weight_diff,Heat_B,0.004137917121912499,0.07837956261255935,0.05279331733919945,0.9578965860679123,24,0.009215033753004157
pct_rotten_weight_diff,Heat_C,0.03591424344662936,0.07837956261255935,0.4582092863181472,0.6468020888528536,24,0.009215033753004157
pct_rotten_weight_diff,Heat_D,0.07148918537668947,0.07837956261255935,0.9120896186939708,0.3617215427661731,24,0.009215033753004157
pct_rotten_weight_diff,Cultivar_St,0.011718914890697225,0.07837956261255939,0.14951493093455218,0.8811473286082827,24,0.009215033753004157
pct_rotten_weight_diff,Heat_B_x_St,-0.07392344180839663,0.11084544045955258,-0.6669055714147416,0.504832451959186,24,0.009215033753004157
pct_rotten_weight_diff,Heat_C_x_St,-0.0963961849636699,0.11084544045955268,-0.8696450170978816,0.38449442836463055,24,0.009215033753004157
pct_rotten_weight_diff,Heat_D_x_St,-0.026254160978270075,0.1108454404595526,-0.2368537746742068,0.8127702320917201,24,0.009215033753004157
