cultivar,heat_level,replicate,healthy_weight_g_heat,healthy_weight_g_control,pct_rotten_count_heat,pct_rotten_count_control,pct_rotten_weight_heat,pct_rotten_weight_control,include_in_temp_model_heat,include_in_temp_model_control,sensor_missing_overview_heat,sensor_missing_overview_control,sensor_missing_files_heat,sensor_missing_files_control,sensor_missing_window_heat,sensor_missing_window_control,healthy_weight_diff,pct_rotten_count_diff,pct_rotten_weight_diff,temp_model_usable_pair
MQ,A,1,710.66,1103.5,0.1905882352941176,0.0414312617702448,0.1485124788823522,0.0235809405831084,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-392.84000000000003,0.14915697352387278,0.12493153829924379,0
MQ,A,2,1076.94,1117.82,0.1009933774834437,0.0118845500848896,0.0634734288174062,0.0060464868133236,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-40.87999999999988,0.0891088273985541,0.0574269420040826,0
MQ,A,3,699.13,942.49,0.1534772182254196,0.054968287526427,0.0960772652047993,0.0359243461093892,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-243.36,0.09850893069899261,0.060152919095410096,0
MQ,B,1,708.73,1205.87,0.1301020408163265,0.0569514237855946,0.1190866830735575,0.0437647693210473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-497.1399999999999,0.07315061703073192,0.07532191375251021,0
MQ,B,2,972.97,961.29,0.1098265895953757,0.0397350993377483,0.0799773060375396,0.0285486185500333,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,11.680000000000064,0.0700914902576274,0.05142868748750629,0
MQ,B,3,890.53,1006.75,0.2075812274368231,0.0403846153846153,0.1583926360655118,0.0302180865410549,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-116.22000000000003,0.16719661205220782,0.1281745495244569,0
MQ,C,1,757.44,1005.95,0.1828703703703703,0.0245746691871455,0.1307980078492575,0.0198571609521304,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-248.51,0.15829570118322478,0.11094084689712709,1
MQ,C,2,832.2,1058.43,0.2325102880658436,0.0476190476190476,0.1643068024341748,0.0354584723057575,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-226.23000000000002,0.184891240446796,0.12884833012841732,1
MQ,C,3,758.75,1033.62,0.1770334928229665,0.0528455284552845,0.1423840311058866,0.0319190783928069,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-274.8699999999999,0.12418796436768198,0.1104649527130797,1
MQ,D,1,765.05,994.12,0.2272727272727272,0.0301204819277108,0.2289823231814242,0.0240329864519929,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-229.07000000000005,0.1971522453450164,0.2049493367294313,0
MQ,D,2,856.35,1059.78,0.2996575342465753,0.0441767068273092,0.274746773264677,0.0339553157160697,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-203.42999999999995,0.25548082741926614,0.2407914575486073,0
MQ,D,3,1281.44,1227.22,0.061377245508982,0.054773082942097,0.0444359932290851,0.0331978319783197,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,54.22000000000003,0.006604162566885001,0.011238161250765398,0
St,A,1,550.02,865.55,0.3146341463414634,0.0111856823266219,0.2647381226104858,0.004130519824194,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-315.53,0.3034484640148415,0.2606076027862918,0
St,A,2,1008.14,981.76,0.0671506352087114,0.0229007633587786,0.0087313917130439,0.0109905608107427,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,26.379999999999995,0.044249871849932794,-0.0022591690976988005,0
St,A,3,821.9,909.93,0.1226053639846743,0.0306748466257668,0.0240340085971453,0.0047142982149107,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-88.02999999999997,0.09193051735890749,0.019319710382234602,0
St,B,1,934.53,757.58,0.036,0.0269607843137254,0.0144895441171818,0.011147078786613,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,176.94999999999993,0.009039215686274596,0.003342465330568801,0
St,B,2,862.3,865.75,0.1227364185110664,0.0760869565217391,0.064253236535686,0.0485218155841301,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-3.4500000000000455,0.046649461989327304,0.0157314209515559,0
St,B,3,916.34,872.18,0.081081081081081,0.0307692307692307,0.051947648854172,0.0027099651249213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,44.16000000000008,0.0503118503118503,0.049237683729250706,0
St,C,1,925.23,1122.84,0.045016077170418,0.0638297872340425,0.0348383677906005,0.0276336869452262,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-197.6099999999999,-0.018813710063624506,0.007204680845374296,1
St,C,2,832.87,972.35,0.1240458015267175,0.0662878787878787,0.0689508691520876,0.0111963065408395,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-139.48000000000002,0.0577579227388388,0.0577545626112481,1
St,C,3,738.58,951.16,0.0767386091127098,0.0615384615384615,0.0540606308994736,0.0227975548363897,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-212.57999999999993,0.015200147574248299,0.0312630760630839,1
St,D,1,507.62,1171.88,0.4087912087912088,0.0440251572327044,0.3647683047390221,0.0185835001298081,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-664.2600000000001,0.3647660515585044,0.346184804609214,0
St,D,2,719.41,884.86,0.0545905707196029,0.0230125523012552,0.0564372278474371,0.0059316512009346,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-165.45000000000005,0.0315780184183477,0.0505055766465025,0
St,D,3,1202.9,985.36,0.0881913303437967,0.0718336483931947,0.0438528857694722,0.0271700497591027,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,217.54000000000008,0.016357681950602,0.016682836010369503,0
