heat_level,outcome,n_pairs,mean_diff_heat_minus_control,sd_diff,se_diff,t_stat,p_value,cultivar
A,healthy_weight_g,6,-175.70999999999995,166.1197587284547,67.81810751316102,-2.590900962046177,0.0487836132019266,
A,pct_rotten_count,6,0.12940059747418353,0.09155910553530969,0.0373788483111906,3.4618668931927257,0.018006110513335286,
A,pct_rotten_weight,6,0.08669659057826067,0.0956253119026237,0.03903887010931982,2.2207761222465154,0.07705303010177814,
B,healthy_weight_g,6,-64.00333333333332,232.157894947957,94.77806373019256,-0.6752969074735844,0.5294503413510248,
B,pct_rotten_count,6,0.06940654122133655,0.053111375580590155,0.021682628284960093,3.2010206654457845,0.023967828953087873,
B,pct_rotten_weight,6,0.0538727867959748,0.04475790873019228,0.01827233972383861,2.9483244953951266,0.03194726279190437,
C,healthy_weight_g,6,-216.54666666666662,46.541671077290125,19.000557652635113,-11.396858483079027,9.103429175884005e-05,
C,pct_rotten_count,6,0.0869198777078609,0.08155432210260612,0.033294412578328186,2.6106445789777446,0.047632689905612625,
C,pct_rotten_weight,6,0.07441274154305506,0.0495047668305623,0.02021023642838921,3.6819332523259294,0.014264866146555342,
D,healthy_weight_g,6,-165.075,299.74549409457353,122.3705855383556,-1.3489761389452468,0.235214951441294,
D,pct_rotten_count,6,0.1453231645431036,0.14952535600713376,0.06104347097091287,2.3806504157070276,0.06311408401321217,
D,pct_rotten_weight,6,0.14505869546581499,0.13894743709267526,0.05672505365741983,2.5572244733670844,0.050817702200076975,
A,healthy_weight_g,3,-225.6933333333333,176.64383298981417,101.98536452735651,-2.212997270532807,0.15736493396753246,MQ
A,pct_rotten_count,3,0.11225824387380649,0.03229903516912292,0.018647856649458307,6.01990062364982,0.02650235984306656,MQ
A,pct_rotten_weight,3,0.08083713313291216,0.038211191593629616,0.022061241752638426,3.6642150083525737,0.06707303307982675,MQ
B,healthy_weight_g,3,-200.55999999999995,264.6873151475151,152.81729265149716,-1.3124169164374675,0.31976641000276007,MQ
B,pct_rotten_count,3,0.10347957311352236,0.05520176946882181,0.03187075646256794,3.2468502351068658,0.08319235215773531,MQ
B,pct_rotten_weight,3,0.08497505025482448,0.03927300750130931,0.022674281452767123,3.747640269520174,0.06439907989548832,MQ
C,healthy_weight_g,3,-249.86999999999998,24.34850303406755,14.057614781083322,-17.7747081486568,0.003150206962065065,MQ
C,pct_rotten_count,3,0.1557916353325676,0.030429010680970304,0.017568197507832204,8.867821258448,0.012478923947090853,MQ
C,pct_rotten_weight,3,0.11675137657954138,0.01047897097483094,0.006050036713148919,19.29763109136154,0.002674526950093102,MQ
D,healthy_weight_g,3,-126.09333333333332,156.6812880765707,90.4599838479854,-1.3939128437744188,0.29802343159097533,MQ
D,pct_rotten_count,3,0.1530790784437225,0.13016040721948857,0.07514814614600304,2.0370306693435904,0.17855615745971182,MQ
D,pct_rotten_weight,3,0.15232631850960132,0.12349317995429794,0.07129882068969681,2.136449341463141,0.16613727849030105,MQ
A,healthy_weight_g,3,-125.72666666666665,174.04422148791187,100.48447812694478,-1.2512048528314268,0.3373756785999753,St
A,pct_rotten_count,3,0.14654295107456058,0.13795965345827604,0.07965104306144316,1.8398120783116012,0.2071622831168456,St
A,pct_rotten_weight,3,0.09255604802360921,0.14593630735193538,0.08425636633417986,1.0985050987899352,0.38656012846832,St
B,healthy_weight_g,3,72.55333333333333,93.49158268707042,53.97739043134427,1.344143033843336,0.3110781003792036,St
B,pct_rotten_count,3,0.035333509329150734,0.022845036237432094,0.013189587821328175,2.678894125259533,0.11566332385563291,St
B,pct_rotten_weight,3,0.022770523337125134,0.023743514688469615,0.013708324596895766,1.661072669834612,0.23858159624160288,St
C,healthy_weight_g,3,-183.22333333333327,38.615212460030946,22.29450330861346,-8.21831869483924,0.014484962285564555,St
C,pct_rotten_count,3,0.018048120083154196,0.038365178848370186,0.022150146335614664,0.8148081646817419,0.50077605611001,St
C,pct_rotten_weight,3,0.03207410650656877,0.025284698226815953,0.014598127327630644,2.197138426506284,0.15912934487260194,St
D,healthy_weight_g,3,-204.0566666666667,442.1658806752658,255.28459023433265,-0.7993301377077149,0.5079464582634573,St
D,pct_rotten_count,3,0.1375672506424847,0.19690704917246032,0.11368433784505486,1.2100809421081458,0.34985993236284685,St
D,pct_rotten_weight,3,0.13779107242202868,0.1812648756853159,0.1046533247715412,1.3166430471542818,0.31859215797681084,St
