outcome,n_pairs,mean_diff_heat_minus_control,sd_diff,se_diff,t_stat,p_value,cultivar
healthy_weight_g,8,-61.66374999999999,170.53935154909465,60.29476596976068,-1.0227048568515198,0.34048493770273314,
pct_rotten_count,8,-0.03967596329504562,0.03484828441135915,0.012320729109994754,-3.2202609878712383,0.014648105351539811,
pct_rotten_weight,8,-0.015153451429304863,0.02531994383781717,0.008951951993491528,-1.6927538753918812,0.1343361041940382,
healthy_weight_g,4,-125.91249999999997,198.9360512618732,99.4680256309366,-1.2658590456714423,0.294932692418296,MQ
pct_rotten_count,4,-0.0322153252780616,0.03134772810321657,0.015673864051608286,-2.055353113437015,0.1320834101221743,MQ
pct_rotten_weight,4,-0.025494462429961326,0.028749136376534246,0.014374568188267123,-1.7735810979539917,0.1742379351364696,MQ
healthy_weight_g,4,2.5849999999999795,131.44811460547214,65.72405730273607,0.039331108061284696,0.9710974326370292,St
pct_rotten_count,4,-0.04713660131202965,0.041261327156881085,0.020630663578440542,-2.284783576292153,0.10646566452215074,St
pct_rotten_weight,4,-0.0048124404286484,0.019601584088505302,0.009800792044252651,-0.49102566475435994,0.6570846173180923,St
